name; nat_dex_id; type1; type2; egg_group1; egg_group2; height; weight; male_ratio; classification; capture_rate; egg_steps; exp_growth; ev; color; sz_flee_rate; ability; base_happiness; base_atk; base_def; base_spatk; base_spdef; base_speed; base_hp; damage_normal; damage_fire; damage_water; damage_grass; damage_electric; damage_ice; damage_fighting; damage_poison; damage_ground; damage_flying; damage_psychic; damage_bug; damage_rock; damage_ghost; damage_dragon; damage_dark; damage_steel; dex_entry_diamond; dex_entry_pearl; dex_entry_platinum; dex_entry_HG; dex_entry_SS; 
Bulbasaur; 1; Grass; Poison; Monster; Plant; 0.7; 6.9; 87.5; Seed Pokémon; 45; 5120; 1059860; 1 Sp. Attack Point(s); Green; 0; Overgrow; 70; 105 - 152; 200 - 294; 105 - 152; 200 - 294; 105 - 152; 45; 1.0; 2.0; 0.5; 0.25; 0.5; 2.0; 0.5; 1.0; 1.0; 2.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; For some time after its birth, it grows by gaining nourishment from the seed on its back.; For some time after its birth, it grows by gaining nourishment from the seed on its back.; For some time after its birth, it grows by gaining nourishment from the seed on its back.; The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.; It carries a seed on its back right from birth. As it grows older, the seed also grows larger.; 
Ivysaur; 2; Grass; Poison; Monster; Plant; 1.0; 13.0; 87.5; Seed Pokémon; 45; 5120; 1059860; 1 Sp. Attack Point(s) 1 Sp. Defense Point(s); Green; 0; Overgrow; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 2.0; 0.5; 0.25; 0.5; 2.0; 0.5; 1.0; 1.0; 2.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; When the bud on its back starts swelling, a sweet aroma wafts to indicate the flowers coming bloom.; When the bud on its back starts swelling, a sweet aroma wafts to indicate the flowers coming bloom.; When the bud on its back starts swelling, a sweet aroma wafts to indicate the flowers coming bloom.; Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.; If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom.; 
Venusaur; 3; Grass; Poison; Monster; Plant; 2.4; 155.5; 87.5; Seed Pokémon; 45; 5120; 1059860; 2 Sp. Attack Point(s) 1 Sp. Defense Point(s); Green; 0; Overgrow; 70; 140 - 187; 270 - 364; 140 - 187; 270 - 364; 140 - 187; 80; 1.0; 2.0; 0.5; 0.25; 0.5; 2.0; 0.5; 1.0; 1.0; 2.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; After a rainy day, the flower on its back smells stronger. The scent attracts other Pokmon.; After a rainy day, the flower on its back smells stronger. The scent attracts other Pokmon.; After a rainy day, the flower on its back smells stronger. The scent attracts other Pokmon.; By spreading the broad petals of its flower and catching the suns rays, it fills its body with power.; It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.; 
Charmander; 4; Fire; None; Monster; Dragon; 0.6; 8.5; 87.5; Lizard Pokémon; 45; 5120; 1059860; 1 Speed Point(s); Red; 0; Blaze; 70; 99 - 146; 188 - 282; 99 - 146; 188 - 282; 99 - 146; 39; 1.0; 0.5; 2.0; 0.5; 1.0; 0.5; 1.0; 1.0; 2.0; 1.0; 1.0; 0.5; 2.0; 1.0; 1.0; 1.0; 0.5; The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.; The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.; The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.; The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly.; The flame on its tail indicates CHARMANDERs life force. If it is healthy, the flame burns brightly.; 
Charmeleon; 5; Fire; None; Monster; Dragon; 1.1; 19.0; 87.5; Flame Pokémon; 45; 5120; 1059860; 1 Speed Point(s) 1 Sp. Attack Point(s); Red; 0; Blaze; 70; 118 - 165; 226 - 320; 118 - 165; 226 - 320; 118 - 165; 58; 1.0; 0.5; 2.0; 0.5; 1.0; 0.5; 1.0; 1.0; 2.0; 1.0; 1.0; 0.5; 2.0; 1.0; 1.0; 1.0; 0.5; In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.; In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.; In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars.; It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins.; It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.; 
Charizard; 6; Fire; Flying; Monster; Dragon; 1.7; 100.5; 87.5; Flame Pokémon; 45; 5120; 1059860; 3 Sp. Attack Point(s); Red; 0; Blaze; 70; 138 - 185; 266 - 360; 138 - 185; 266 - 360; 138 - 185; 78; 1.0; 0.5; 2.0; 0.25; 2.0; 1.0; 0.5; 1.0; 0.0; 1.0; 1.0; 0.25; 4.0; 1.0; 1.0; 1.0; 0.5; It is said that CHARIZARDs fire burns hotter if it has experienced harsh battles.; It is said that CHARIZARDs fire burns hotter if it has experienced harsh battles.; It is said that CHARIZARDs fire burns hotter if it has experienced harsh battles.; If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade.; Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies.; 
Squirtle; 7; Water; None; Monster; Water 1; 0.5; 9.0; 87.5; Tiny Turtle Pokémon; 45; 5120; 1059860; 1 Defense Point(s); Blue; 0; Torrent; 70; 104 - 151; 198 - 292; 104 - 151; 198 - 292; 104 - 151; 44; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It shelters itself in its shell, then strikes back with spouts of water at every opportunity.; It shelters itself in its shell, then strikes back with spouts of water at every opportunity.; It shelters itself in its shell, then strikes back with spouts of water at every opportunity.; The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it.; The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out.; 
Wartortle; 8; Water; None; Monster; Water 1; 1.0; 22.5; 87.5; Turtle Pokémon; 45; 5120; 1059860; 1 Defense Point(s) 1 Sp. Defense Point(s); Blue; 0; Torrent; 70; 119 - 166; 228 - 322; 119 - 166; 228 - 322; 119 - 166; 59; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.; It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.; It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.; It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old.; It cleverly controls its furry ears and tail to maintain its balance while swimming.; 
Blastoise; 9; Water; None; Monster; Water 1; 1.6; 101.1; 87.5; Turtle Pokémon; 45; 5120; 1059860; 3 Sp. Defense Point(s); Blue; 0; Torrent; 70; 139 - 186; 268 - 362; 139 - 186; 268 - 362; 139 - 186; 79; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.; The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.; The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.; It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.; The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.; 
Caterpie; 10; Bug; None; Bug; Bug; 0.3; 2.9; 50.0; Worm Pokémon; 255; 3840; 1000000; 1 HP Point(s); Green; 0; Shield Dust; 70; 105 - 152; 200 - 294; 105 - 152; 200 - 294; 105 - 152; 45; 1.0; 2.0; 1.0; 0.5; 1.0; 1.0; 0.5; 1.0; 0.5; 2.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.; It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.; It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.; For protection, it releases a horrible stench from the antennae on its head to drive away enemies.; Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.; 
